Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Temporal_Class
gene-PA0211,host,mdcD,3.828641396489095,4.90527477843843,3.912023005428146,4.1588830833596715,4.962844630259907,3.6888794541139363,2.995732273553991,4.30406509320417,2.833213344056216,3.258096538021482,3.8918202981106265,2.9444389791664403,early
gene-PA4098,host,gene-PA4098,3.871201010907891,3.9318256327243257,3.4965075614664802,3.295836866004329,3.713572066704308,3.4011973816621555,3.044522437723423,3.4339872044851463,3.258096538021482,3.4657359027997265,3.5553480614894135,3.4657359027997265,early
gene-PA2839,host,gene-PA2839,4.736198448394496,5.4680601411351315,4.770684624465665,5.736572297479192,6.70073110954781,4.709530201312334,4.990432586778736,6.329720905522696,4.634728988229636,4.59511985013459,5.579729825986222,4.394449154672439,early
gene-PA0552,host,pgk,7.881559917056899,7.582738488914411,7.771488760117616,7.152268856032539,8.527737405291909,8.211754397375197,7.251344983372214,7.906178840394815,8.063692634269517,7.462214939768189,7.907651594711089,7.884576510596324,early
gene-PA1796.1,host,gene-PA1796.1,7.438383530044307,7.637234388789473,8.166216268592143,7.907283609426348,8.390268497842571,8.437933510430605,7.246368080102461,8.52456594574565,7.563719668414366,7.774435510302958,7.869783902530146,8.078688229229872,middle
gene-PA0775,host,gene-PA0775,5.700443573390687,5.733341276897746,5.805134968916488,6.269096283706261,7.406103381237015,7.224753405767971,6.553933404025811,6.860663671448287,6.369900982828227,6.776506992372183,6.720220155135295,7.050122520269059,early
gene-PA0843,host,plcR,3.9512437185814275,4.867534450455582,4.5217885770490405,3.8501476017100584,4.356708826689592,3.258096538021482,3.332204510175204,2.9444389791664403,3.295836866004329,3.1354942159291497,3.5263605246161616,3.367295829986474,early
gene-PA2672,host,gene-PA2672,2.772588722239781,3.9889840465642745,3.2188758248682006,2.6390573296152584,3.713572066704308,3.295836866004329,2.4849066497880004,3.091042453358316,3.2188758248682006,1.791759469228055,3.1780538303479458,2.5649493574615367,early
gene-PA3402,host,gene-PA3402,5.4116460518550396,5.886104031450156,5.765191102784844,5.220355825078324,6.126869184114185,5.84354441703136,5.081404364984463,5.552959584921617,5.823045895483019,5.25227342804663,5.501258210544727,5.673323267171493,early
gene-PA4020,host,mpl,6.950814768442584,7.340186835320115,7.269616749608169,6.915723448631314,7.845416036592485,7.359467638255621,6.618738983517219,7.142036574706803,7.165493475060845,7.655390644826152,7.157735484249907,7.268920128193722,early
gene-PA4929,host,gene-PA4929,6.182084906716632,6.773080375655535,6.075346031088684,5.638354669333745,6.261491684321042,5.91350300563827,5.41610040220442,5.713732805509369,5.69035945432406,5.54907608489522,5.857933154483459,5.616771097666572,early
gene-PA3200,host,gene-PA3200,6.2766434893416445,6.966024187106113,6.843749949006225,6.490723534502507,7.157735484249907,6.695798917058491,6.152732694704104,6.690842277418564,6.400257445308821,6.318968113746434,6.542471960506805,6.669498089857879,early
gene-PA4614,host,mscL,7.214504414151143,7.349230824613334,7.553810852008231,6.853299093186078,7.346010209913293,7.014814351275545,6.559615237493242,7.470793774195062,7.818027938530729,6.7912214627261855,7.1276936993473985,7.484368643286131,middle
gene-PA0040,host,gene-PA0040,6.226536669287466,6.366470447731438,6.249975242259483,6.113682179832232,6.721425700790643,6.806829360392176,6.285998094508865,6.511745329644728,6.925595197110468,6.3080984415095305,6.71174039505618,7.260522598089852,late
gene-PA5098,host,hutH,5.3612921657094255,6.902742737158593,4.6913478822291435,5.327876168789581,6.910750787961936,4.23410650459726,4.382026634673881,6.583409222158765,3.6635616461296463,4.59511985013459,5.978885764901122,3.58351893845611,early
gene-PA0864,host,gene-PA0864,3.7376696182833684,4.343805421853684,3.9318256327243257,3.970291913552122,4.68213122712422,4.605170185988092,3.7612001156935624,4.406719247264253,4.882801922586371,3.6375861597263857,4.189654742026425,4.290459441148391,middle
gene-PA5425,host,purK,6.92951677076365,7.132497551660044,6.961296045910167,7.018401799069201,8.252446090246952,7.933796874815411,7.282761179605593,7.602401335665818,7.213031659834869,7.482681828154651,7.537962659768208,7.843064016692054,early
gene-PA4462,host,rpoN,7.773173680482536,8.665095821339733,8.89604050162011,7.874358824729881,8.84980082722101,8.520786726926367,7.77779262633883,8.482394685873542,8.262558973010657,7.831617276352611,8.261526448396468,8.300528606199737,early
gene-PA2429,host,gene-PA2429,3.091042453358316,3.912023005428146,3.4657359027997265,2.9444389791664403,3.912023005428146,3.5263605246161616,2.5649493574615367,3.044522437723423,3.2188758248682006,2.0794415416798357,3.044522437723423,3.1354942159291497,early
gene-PA2277,host,arsR,4.02535169073515,4.276666119016055,4.02535169073515,3.828641396489095,4.6443908991413725,4.23410650459726,3.7376696182833684,4.0943445622221,4.330733340286331,3.784189633918261,4.356708826689592,4.394449154672439,early
gene-PA0018,host,fmt,6.20050917404269,6.8679744089702925,6.933423025730715,6.71295620067707,7.543273346705446,7.234898420314831,6.415096959171596,7.147559271189454,7.1204443723924875,6.541029999189903,6.656726524178391,7.252762418053187,early
gene-PA0730,host,gene-PA0730,6.142037405587356,6.2166061010848646,5.733341276897746,6.251903883165888,6.635946555686647,6.218600119691729,5.537334267018537,5.82600010738045,5.786897381366708,5.8916442118257715,5.351858133476067,5.293304824724492,early
gene-PA3746,host,ffh,7.782807262839695,7.708859601047175,7.913521017283895,8.084562415235304,8.991064332188461,8.80357441813497,8.103796712981794,8.498214224818435,8.32093496888341,8.208764045819667,8.285008895449879,8.63550941823428,early
gene-PA0306a,host,gene-PA0306a,7.455876687491824,7.469654172932128,7.559038255443384,6.90975328164481,7.261225091971921,6.818924065275521,6.324358962381311,6.579251212010101,6.406879986069314,6.452048954437226,6.579251212010101,6.139884552226255,early
gene-PA2926,host,hisP,4.356708826689592,4.61512051684126,4.0943445622221,3.4965075614664802,4.276666119016055,4.0943445622221,3.7612001156935624,3.970291913552122,4.04305126783455,3.871201010907891,4.04305126783455,3.6109179126442243,early
gene-PA5353,host,glcF,3.5263605246161616,4.2626798770413155,3.8918202981106265,3.58351893845611,4.1588830833596715,2.995732273553991,2.70805020110221,2.995732273553991,2.9444389791664403,2.6390573296152584,2.9444389791664403,2.995732273553991,early
gene-PA3674,host,gene-PA3674,6.144185634125646,6.840546529288687,6.8308742346461795,6.192362489474872,7.1808311990445555,6.842683282238422,6.222576268071369,6.682108597449809,6.618738983517219,6.09807428216624,6.555356891810665,7.046647277848756,early
gene-PA0221,host,gene-PA0221,3.7376696182833684,4.634728988229636,4.3694478524670215,3.044522437723423,4.110873864173311,3.6375861597263857,2.6390573296152584,3.7376696182833684,3.1780538303479458,2.6390573296152584,3.6635616461296463,3.295836866004329,early
gene-PA0224,host,gene-PA0224,5.049856007249537,5.700443573390687,5.318119993844216,4.2626798770413155,5.204006687076795,4.653960350157523,4.0943445622221,4.330733340286331,4.736198448394496,4.290459441148391,4.867534450455582,4.736198448394496,early
gene-PA1321,host,cyoE,4.727387818712341,4.605170185988092,4.812184355372417,4.442651256490317,4.584967478670572,3.9318256327243257,4.997212273764115,4.672828834461906,3.828641396489095,6.07073772800249,5.236441962829949,4.653960350157523,late
gene-PA3360,host,gene-PA3360,4.1588830833596715,4.844187086458591,4.356708826689592,4.624972813284271,5.389071729816501,4.060443010546419,4.418840607796598,4.9344739331306915,4.290459441148391,4.5217885770490405,4.718498871295094,4.442651256490317,early
gene-PA3532,host,gene-PA3532,6.4967749901858625,6.6039438246004725,7.578656850594762,7.115582126184454,7.197435354096591,7.363913501405819,5.746203190540153,6.453624998892692,6.444131256700441,6.467698726104354,6.124683390894205,6.129050210060545,early
gene-PA0537,host,gene-PA0537,7.156176637480615,7.262628600974241,7.311886164077165,6.955592608396297,7.784057002639929,7.1204443723924875,6.68586094706836,7.0317412587631285,6.914730892718563,6.77078942390898,7.017506142941256,7.428333194190806,early
