Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp156,0,0,0,42.0,3.0,2.0,67.0,8.0,20.0,1507.0,290.0,1588.0,4763.0,2687.0,2762.0,2660.0,3057.0,3383.0,3657.0,3534.0,2132.0,phage,gene-CPT_phageK_gp156
gene-CPT_phageK_gp081,0,0,0,24.0,1.0,1.0,62.0,13.0,19.0,2036.0,231.0,2381.0,8757.0,4091.0,5639.0,4387.0,4295.0,3796.0,2248.0,2054.0,1270.0,phage,gene-CPT_phageK_gp081
gene-CPT_phageK_gp099,0,0,1,10.0,0.0,0.0,91.0,9.0,37.0,993.0,158.0,1259.0,2937.0,1675.0,2309.0,1126.0,1043.0,1567.0,842.0,771.0,1141.0,phage,gene-CPT_phageK_gp099
gene-CPT_phageK_gp212,0,1,1,74.0,1.0,3.0,21.0,7.0,6.0,775.0,129.0,1267.0,3829.0,2644.0,3145.0,4667.0,4136.0,5252.0,7746.0,4292.0,3529.0,phage,gene-CPT_phageK_gp212
gene-CPT_phageK_gp215,0,0,0,47.0,0.0,1.0,73.0,10.0,21.0,1271.0,155.0,1669.0,5222.0,2232.0,3268.0,3886.0,3905.0,4967.0,3547.0,2893.0,1423.0,phage,gene-CPT_phageK_gp215
gene-CPT_phageK_gp228,0,3,0,9.0,0.0,1.0,96.0,14.0,53.0,1223.0,206.0,1494.0,2800.0,1934.0,1914.0,1380.0,1162.0,1331.0,675.0,762.0,433.0,phage,gene-CPT_phageK_gp228
gene-CPT_phageK_gp039,0,0,0,6.0,2.0,2.0,192.0,17.0,154.0,1303.0,199.0,538.0,1249.0,617.0,345.0,205.0,163.0,274.0,139.0,95.0,145.0,phage,gene-CPT_phageK_gp039
gene-CPT_phageK_gp166,1,0,0,1800.0,5.0,3.0,37.0,23.0,17.0,421.0,97.0,675.0,1973.0,2051.0,1790.0,31857.0,15369.0,109888.0,187560.0,128930.0,245203.0,phage,gene-CPT_phageK_gp166
gene-CPT_phageK_gp201,0,0,1,20.0,2.0,0.0,89.0,8.0,43.0,1692.0,198.0,1670.0,5741.0,2681.0,3489.0,2409.0,2980.0,3281.0,1464.0,1643.0,1027.0,phage,gene-CPT_phageK_gp201
gene-CPT_phageK_gp117,0,1,0,95.0,0.0,2.0,28.0,9.0,7.0,1178.0,199.0,2232.0,8554.0,5751.0,8111.0,9993.0,11121.0,12883.0,9683.0,10218.0,4886.0,phage,gene-CPT_phageK_gp117
