Geneid,Entity,Symbol,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b3596,host,yibG,3.4657359027997265,0.6931471805599453,3.828641396489095,1.0986122886681098,3.4339872044851463,1.0986122886681098,3.6109179126442243,1.0986122886681098,3.4011973816621555,0.6931471805599453,3.9318256327243257,2.0794415416798357
gene-b3185,host,rpmA,9.849559210510572,9.080801000621198,9.988793309115229,9.042868018032435,8.465689348549121,8.494333897270154,6.052089168924417,6.946013991099227,6.459904454377535,6.249975242259483,5.902633333401366,6.448889394146858
gene-b3499,host,rlmJ,7.273786317844895,5.739792912179234,7.275172319452771,6.208590026096629,5.356586274672012,4.955827057601261,4.859812404361672,3.828641396489095,4.859812404361672,2.9444389791664403,5.375278407684165,3.4657359027997265
gene-b4837,host,spfP,7.546446273746024,5.75890177387728,7.181591944611865,6.049733455231958,6.912742820493176,5.54907608489522,5.442417710521793,5.564520407322694,6.326149473155099,4.31748811353631,5.303304908059076,4.110873864173311
gene-b4518,host,ymdF,4.430816798843313,3.58351893845611,4.0943445622221,2.8903717578961645,3.295836866004329,2.3978952727983707,2.6390573296152584,2.302585092994046,2.8903717578961645,0.6931471805599453,2.8903717578961645,1.3862943611198906
gene-b1801,host,yeaV,3.9318256327243257,1.9459101490553132,4.127134385045092,1.791759469228055,4.1588830833596715,1.3862943611198906,3.8501476017100584,1.0986122886681098,4.219507705176107,0.0,5.262690188904886,0.6931471805599453
gene-b2800,host,fucA,3.9512437185814275,2.1972245773362196,3.9512437185814275,2.302585092994046,3.6635616461296463,1.6094379124341003,3.5553480614894135,0.0,3.4965075614664802,0.0,4.394449154672439,1.0986122886681098
gene-b4074,host,nrfE,5.0238805208462765,2.833213344056216,4.867534450455582,3.1354942159291497,4.68213122712422,2.3978952727983707,4.700480365792417,1.3862943611198906,4.820281565605037,2.0794415416798357,6.037870919922137,0.0
gene-b2216,host,rcsD,8.241966560231802,6.734591659972948,7.920083199053234,6.962243464266207,6.212606095751519,5.937536205082426,5.480638923341991,4.709530201312334,5.484796933490655,4.02535169073515,5.934894195619588,4.110873864173311
gene-b2477,host,bamC,8.674538762140015,7.924072324923417,9.219696466900208,7.98514393119862,6.981934677156389,6.846943139585379,5.802118375377063,5.616771097666572,6.368187186350492,5.209486152841421,5.662960480135946,5.2574953720277815
gene-b0584,host,fepA,6.284134161070802,6.20455776256869,6.677083461247136,7.532623618788788,,6.769641976852503,5.2832037287379885,4.882801922586371,5.438079308923196,3.8918202981106265,6.113682179832232,3.8918202981106265
gene-b4445,host,omrB,4.02535169073515,1.9459101490553132,2.8903717578961645,1.6094379124341003,3.044522437723423,0.6931471805599453,2.995732273553991,1.6094379124341003,2.1972245773362196,0.0,3.6888794541139363,0.0
gene-b0610,host,rnk,8.224163512637862,5.181783550292085,6.905753276311464,5.723585101952381,5.442417710521793,4.983606621708336,,3.8501476017100584,4.6913478822291435,3.091042453358316,4.31748811353631,3.332204510175204
gene-b1882,host,cheY,3.044522437723423,3.4657359027997265,3.258096538021482,3.367295829986474,3.4657359027997265,2.3978952727983707,2.995732273553991,1.3862943611198906,3.044522437723423,1.0986122886681098,3.7612001156935624,1.3862943611198906
gene-b1126,host,potA,7.697575346802343,6.455198563340122,7.655864017616056,7.261927092702751,5.937536205082426,6.054439346269371,4.844187086458591,4.927253685157205,4.997212273764115,4.499809670330265,4.90527477843843,4.30406509320417
gene-T4p110,phage,tk.4,3.044522437723423,0.0,7.796469243086058,4.477336814478207,,8.420241665339788,,7.993957547573565,,7.853604813097837,,
gene-b2328,host,mepA,7.504391559161238,5.8377304471659395,7.486613313139955,6.428105272684596,5.393627546352362,5.10594547390058,4.23410650459726,3.8918202981106265,4.672828834461906,3.4657359027997265,4.672828834461906,3.258096538021482
gene-T4p204,phage,30.2,3.4657359027997265,0.0,8.515191188745565,4.276666119016055,,8.845489236753274,,,,,,
gene-b2333,host,yfcP,3.5553480614894135,1.6094379124341003,3.713572066704308,1.0986122886681098,3.4965075614664802,0.6931471805599453,3.5263605246161616,0.6931471805599453,3.6109179126442243,0.0,4.564348191467836,0.6931471805599453
gene-b3032,host,cpdA,7.614312146452,5.811140992976701,7.44600149832412,6.317164686747284,5.552959584921617,4.976733742420574,4.820281565605037,3.7376696182833684,5.187385805840755,3.4011973816621555,5.298317366548036,3.871201010907891
gene-b3031,host,yqiA,6.732210706467206,5.298317366548036,6.784457062637643,5.8916442118257715,4.700480365792417,4.499809670330265,4.394449154672439,3.258096538021482,4.406719247264253,2.9444389791664403,4.997212273764115,3.2188758248682006
